,jngIfrmpRgsno,brno,crno,corpNm,brandNm,jnghdqrtrsRprsvNm,indutyLclasNm,indutyMlsfcNm,jngBizStrtDate,jngIfrmpRgsDt,yr,ifrmpRlsDocRgsDate,ifrmpRlsDocExstYn
7868,20230874,7150101919,,생각나래아카데미,생각나래아카데미,김현경,서비스,기타 교육,,1686841200000,2023,,N
7869,20230875,6610802323,,백선장레알꽃게장,백선장 레알 꽃게장,백서인,외식,한식,,1686841200000,2023,,N
7870,20230876,7415000727,,려포성마라탕,려포성마라탕,LYU XINGHAO,외식,중식,20230112,1687100400000,2023,,N
7871,20230877,2488700919,2001110522362,라임에프앤비(주),라임반찬,김형우,외식,한식,,1687100400000,2023,,N
7872,20230878,4120734319,,풍년화로,풍년화로,김철순,외식,한식,,1687100400000,2023,,N
7873,20230879,1591501571,,이지컨설팅,갈바트 카페,김용수,외식,커피,,1687100400000,2023,,N
7874,20230880,5252901440,,엠엠푸드,구울계,김민혁,외식,한식,,1687100400000,2023,,N
7875,20230881,6310301629,,이티비티샵(ittybittyshop),이티비티샵,손아운,도소매,기타도소매,20230110,1687100400000,2023,,N
7876,20230882,2178150145,1801111246213,와이제이와이푸드(주),아덴플러스,최용진,외식,커피,20230415,1687100400000,2023,,N
7877,20230883,2178150145,1801111246213,와이제이와이푸드(주),아덴블랑제리 시그니쳐,최용진,외식,커피,20230325,1687100400000,2023,,N
7878,20230884,6758102849,1101118615770,(주)템드,템드헤어룸,홍장표,서비스,이미용,20200407,1687186800000,2023,,N
7879,20230885,7017500251,,아트캠프71,아트캠프71,이문기,서비스,기타 서비스,,1687186800000,2023,,N
7880,20230886,5136205848,,조개깡패연구소,조개깡패연구소,나진희,외식,한식,,1687186800000,2023,,N
7881,20230887,4681202304,,"달이는곳,다린",다린,전민주,외식,음료 (커피 외),,1687186800000,2023,,N
7882,20230888,7668801179,2241110046215,(주)큰돈가,큰돈가,이상철,외식,한식,20210416,1687186800000,2023,,N
7883,20230889,1885800067,,햄최몇,햄최몇,"김특기, 정해숙",외식,패스트푸드,,1687186800000,2023,,N
7884,20230890,7638702167,1101117926342,(주)커피가버먼트,멜로우시티,신근영,외식,커피,,1687186800000,2023,,N
7885,20230891,2840402832,,마포냉면숯불구이,마포냉면 숯불구이,이언석,외식,한식,,1687186800000,2023,,N
7886,20230892,5178702109,1314110489718,(주)멀티웨이,또와유 스볶이,인대교,외식,한식,,1687273200000,2023,,N
7887,20230893,4634300931,,천상계,천상계,이지민,외식,한식,20230401,1687273200000,2023,,N
7888,20230894,4560302463,,늘이네,늘이네,최형원,외식,한식,,1687273200000,2023,,N
7889,20230895,6881000599,,농부의마음,원무삼,곽현주,외식,한식,,1687273200000,2023,,N
7890,20230896,7403200962,,데니스스모크하우스,데니스 스모크하우스,김태연,외식,서양식,,1687273200000,2023,,N
7891,20230897,5240302470,,아구찜으로승부,아구찜으로승부,허재은,외식,한식,,1687273200000,2023,,N
7892,20230898,6010992233,,달달한밤부엌,달달한밤부엌,성기영,외식,주점,,1687273200000,2023,,N
7893,20230899,5393001504,,엔씨제이컴퍼니,라이첸,김은제,외식,기타 외국식,,1687273200000,2023,,N
7894,20230900,3543200136,,팜,피자팜비어,이원국,외식,피자,20200320,1687273200000,2023,,N
7895,20230901,5301700023,,자연이래쌍화차,자연이래쌍화차,김세명,외식,한식,,1687273200000,2023,,N
7896,20230902,1053692954,,돗간,돗간,김민권,외식,한식,20230518,1691718590000,2023,,N
7897,20230903,4850900558,,하이민,하이하이민,윤지원,도소매,의류 / 패션,,1693288124000,2023,,N
